unit_id,waveform_PT_ratio,waveform_amplitude,amplitude_cutoff,cluster_id,cumulative_drift,d_prime,firing_rate,isi_violations,isolation_distance,L_ratio,local_index,max_drift,nn_hit_rate,nn_miss_rate,peak_channel_id,presence_ratio,waveform_recovery_slope,waveform_repolarization_slope,silhouette_score,snr,waveform_spread,waveform_velocity_above,waveform_velocity_below,waveform_duration,filtering,probe_channel_number,probe_horizontal_position,probe_id,probe_vertical_position,structure_acronym,ecephys_structure_id,ecephys_structure_acronym,anterior_posterior_ccf_coordinate,dorsal_ventral_ccf_coordinate,left_right_ccf_coordinate,probe_description,location,probe_sampling_rate,probe_lfp_sampling_rate,probe_has_lfp_data,ecephys_session_id
950950919,0.201406482325772,235.77216,2.50360398215147e-06,430,79.57,9.61225468307941,10.7411384118644,0.000337593871727572,161.70656593889,5.92564172966011e-05,408,48.77,1.0,0.000565291124929339,850259008,0.99,-0.164283996297369,0.843722726700968,0.155322564415256,1.91060513090828,60.0,1.03015075376884,-0.068676716917923,0.357118927973199,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,260,43,810755805,2620,VISrl,417.0,VISrl,7878.0,1911.0,8950.0,probeE,See electrode locations,29999.985679287,1249.999403303625,True,715093703
950951153,0.359237746792799,132.36522,0.0308072466895231,441,144.86,4.73244939152036,1.92088099863893,0.221673385489465,58.5845781862502,0.00334379518198668,419,53.55,0.989536621823617,0.000375029831918448,850259028,0.99,-0.0257801273127413,0.387873256663519,-0.0479312759631472,2.52136020764909,60.0,1.51088777219431,0.343383584589614,0.810385259631491,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,270,59,810755805,2720,VISrl,417.0,VISrl,7903.0,1835.0,9037.0,probeE,See electrode locations,29999.985679287,1249.999403303625,True,715093703
950953187,0.102649268187276,123.75753,0.000845206254790219,574,237.58,4.65870037607204,0.860006012698715,0.210645505195984,40.7546195309574,0.0074856433251007,552,42.33,0.605555555555556,0.00130784708249497,850259036,0.99,-0.0124690295055754,0.288142924709974,-0.0162443687134792,2.60874160913498,70.0,0.686767169179229,-0.137353433835846,0.769179229480737,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,274,59,810755805,2760,VISrl,417.0,VISrl,7912.0,1809.0,9065.0,probeE,See electrode locations,29999.985679287,1249.999403303625,True,715093703
950951364,0.00141902767395431,103.2291,0.000293943940747922,451,75.54,6.19173743620561,47.2698834096762,0.0076697073772697,108.760429179156,0.00274281387697957,429,38.26,0.998666666666667,0.00431499460625674,850259042,0.99,-0.0717344194366274,0.457887927282286,0.062832538959338,2.11991732196159,70.0,2.74706867671692,4.2351647362715e-18,0.288442211055276,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,277,11,810755805,2780,VISrl,417.0,VISrl,7921.0,1782.0,9092.0,probeE,See electrode locations,29999.985679287,1249.999403303625,True,715093703
950951511,0.708823351080354,68.27457,0.0340718205307651,460,289.8,4.01477827822605,1.78371232575803,0.379496039137841,55.9670387917445,0.00957385437466299,438,17.34,0.882926829268293,0.00472714633298575,850259058,0.99,-0.0315816502430056,0.145830111169441,0.0779066964140152,1.30841178943465,100.0,1.82483847810481,-0.274706867671692,0.576884422110553,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,285,11,810755805,2860,VISrl,417.0,VISrl,7942.0,1722.0,9150.0,probeE,See electrode locations,29999.985679287,1249.999403303625,True,715093703
950951525,1.00774758571736,96.76017,0.022877464363626,461,107.78,4.33876528874333,0.224353912689285,0.0,41.0211060246764,0.00650083559236697,439,17.69,0.503267973856209,0.00103863034810869,850259062,0.96,-0.015865241627416,0.0444183452566027,-0.090210615409149,2.40881532002517,50.0,1.37353433835846,0.206030150753768,1.30485762144054,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,287,27,810755805,2880,VISrl,417.0,VISrl,7946.0,1708.0,9163.0,probeE,See electrode locations,29999.985679287,1249.999403303625,True,715093703
950951613,0.154117392842755,111.47877,0.0593497838069855,467,255.98,3.58979387840066,3.9298824780377,0.174014382551444,46.6885955928933,0.0250576662582516,445,30.72,0.87468671679198,0.00343714196437871,850259078,0.99,-0.049305543211503,0.309576568420144,0.102896383570211,2.41362726301573,70.0,0.892797319932998,-0.618090452261307,0.645561139028476,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,295,27,810755805,2960,VISrl,417.0,VISrl,7969.0,1639.0,9225.0,probeE,See electrode locations,29999.985679287,1249.999403303625,True,715093703
950951636,0.599956531436675,193.15725,0.00177894981575299,468,250.68,3.95276021755211,2.04516412952192,0.0651833814973321,42.9212985145272,0.0157835908952232,446,26.11,0.840077071290944,0.000644482887283335,850259080,0.99,-0.0950043768216926,0.503574470891566,0.102071839422487,4.02116406640755,100.0,0.964744356704156,0.343383584589614,0.618090452261307,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,296,43,810755805,2980,VISrl,417.0,VISrl,7971.0,1633.0,9231.0,probeE,See electrode locations,29999.985679287,1249.999403303625,True,715093703
950951577,0.52062815842466,168.76977,0.00211583549472964,465,131.36,4.91312218928454,1.16115359906905,0.231103127124585,42.290918389103,0.0169837840492888,443,31.71,0.833333333333333,0.000607779578606159,850259080,0.98,-0.0751537116834654,0.452922660333083,0.134098918739127,2.99608758390129,110.0,1.43894073542315,0.490547977985164,0.604355108877722,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,296,43,810755805,2980,VISrl,417.0,VISrl,7971.0,1633.0,9231.0,probeE,See electrode locations,29999.985679287,1249.999403303625,True,715093703
950951702,0.0443328836918129,110.89104,0.090604799100706,473,218.05,5.63991543801569,5.16824541343289,0.046661522263407,59.4306144368198,0.00428131537124147,451,25.73,0.950316169828365,0.00107292423770463,850259086,0.99,-0.070606087499466,0.50116605713462,0.0874231632969937,2.25095428722769,80.0,1.37353433835846,-0.068676716917923,0.260971524288107,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,299,27,810755805,3000,VISrl,417.0,VISrl,7978.0,1612.0,9249.0,probeE,See electrode locations,29999.985679287,1249.999403303625,True,715093703
950951678,0.371354835230642,134.04378,0.00364616628240448,471,161.48,4.83366702347321,9.05469114505831,0.0380047504406681,72.9371177262278,0.00255854124610735,449,36.68,0.97,0.0037847318379027,850259084,0.99,-0.0794489875309758,0.331230407804004,0.13059942756355,3.07208030814461,60.0,0.343383584589615,0.274706867671691,0.494472361809045,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,298,59,810755805,3000,VISrl,417.0,VISrl,7976.0,1619.0,9243.0,probeE,See electrode locations,29999.985679287,1249.999403303625,True,715093703
950951791,0.443268451440425,131.69364,0.0578518061577295,480,246.36,4.09849616576202,1.16967468329347,0.227748217857879,34.1781556507608,0.0207998370362006,458,24.61,0.5,0.0019520732364028,850259090,0.99,-0.0741371401674973,0.423846169430219,0.0715875145855252,2.81162705134161,90.0,0.961474036850921,0.137353433835846,0.590619765494137,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,301,11,810755805,3020,VISrl,417.0,VISrl,7985.0,1591.0,9267.0,probeE,See electrode locations,29999.985679287,1249.999403303625,True,715093703
950951829,0.919385204435468,131.01699,0.0440020469997712,483,174.54,4.88224724421689,2.7345406264097,0.166677277753622,56.363316835861,0.0036221970719479,461,21.83,0.899827288428325,0.000883722511131505,850259092,0.99,-0.0454160204596679,0.348441699350799,0.100357971019784,2.41350179350025,80.0,0.412060301507538,-0.343383584589614,0.686767169179229,AP band: 500 Hz high-pass; LFP band: 1000 Hz low-pass,302,59,810755805,3040,VISrl,417.0,VISrl,7987.0,1584.0,9273.0,probeE,See electrode locations,29999.985679287,1249.999403303625,True,715093703
